lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
lat_pulldown_with_pronated_grip,Lat Pulldown With Pronated Grip,multiplier,standard,cable machine,back,biceps,,,,Lat Pulldown With Pronated Grip
lat_pulldown_with_supinated_grip,Lat Pulldown With Supinated Grip,multiplier,standard,cable machine,back,traps,,,,Lat Pulldown With Supinated Grip
leg_extension,Leg Extension,multiplier,standard,machine,quads,,,,,Leg Extension
leg_press,Leg Press,multiplier,standard,machine,legs,,,,,Leg Press
leg_curl_on_ball,Leg Curl On Ball,multiplier,standard,machine,hamstrings,,,,,Leg Curl On Ball
lying_dumbbell_external_shoulder_rotation,Lying Dumbbell External Shoulder Rotation,multiplier,standard,dumbbell,shoulders,,,,,Lying Dumbbell External Shoulder Rotation
lying_dumbbell_internal_shoulder_rotation,Lying Dumbbell Internal Shoulder Rotation,multiplier,standard,dumbbell,shoulders,,,,,Lying Dumbbell Internal Shoulder Rotation
lying_leg_raise,Lying Leg Raise,multiplier,standard,floor,abs,,,,,Lying Leg Raise
lying_leg_curl,Lying Leg Curl,multiplier,standard,machine,hamstrings,,,,,Lying Leg Curl
lying_neck_curl,Lying Neck Curl,multiplier,standard,machine,biceps,,,,,Lying Neck Curl
lying_neck_extension,Lying Neck Extension,multiplier,standard,machine,neck,,,,,Lying Neck Extension
lying_windshield_wiper,Lying Windshield Wiper,multiplier,standard,floor,abs,,,,,Lying Windshield Wiper
lying_windshield_wiper_with_bent_knees,Lying Windshield Wiper with Bent Knees,multiplier,standard,floor,abs,,,,,Lying Windshield Wiper with Bent Knees
machine_bicep_curl,Machine Bicep Curl,multiplier,standard,machine,biceps,,,,,Machine Bicep Curl
machine_chest_fly,Machine Chest Fly,multiplier,standard,machine,chest,,,,,Machine Chest Fly
machine_chest_press,Machine Chest Press,multiplier,standard,machine,chest,triceps,,,,Machine Chest Press
machine_crunch,Machine Crunch,multiplier,standard,machine,abs,,,,,Machine Crunch
machine_glute_kickbacks,Machine Glute Kickbacks,multiplier,standard,machine,glutes,,,,,Machine Glute Kickbacks
machine_lateral_raise,Machine Lateral Raise,multiplier,standard,machine,shoulders,,,,,Machine Lateral Raise
machine_shoulder_press,Machine Shoulder Press,multiplier,standard,machine,shoulders,triceps,,,,Machine Shoulder Press
monkey_row,Monkey Row,multiplier,standard,barbell,shoulders,,,,,Monkey Row
mountain_climbers,Mountain Climbers,bodyweight,standard,bodyweight,abs,,,,,Mountain Climbers
muscle_up_bar,Muscle-Up (Bar),multiplier,standard,pull-up bar,shoulders,arms,,,,Muscle-Up (Bar)
muscle_up_rings,Muscle-Up (Rings),multiplier,standard,rings,shoulders,arms,,,,Muscle-Up (Rings)
neutral_close_grip_lat_pulldown,Neutral Close-Grip Lat Pulldown,multiplier,standard,cable machine,lats,traps,,,,Neutral Close-Grip Lat Pulldown
nordic_hamstring_eccentric,Nordic Hamstring Eccentric,multiplier,standard,floor,hamstrings,glutes,,,,Nordic Hamstring Eccentric
oblique_crunch,Oblique Crunch,multiplier,standard,machine,obliques,abs,,,,Oblique Crunch
oblique_sit_up,Oblique Sit-Up,bodyweight,standard,bodyweight,obliques,abs,,,,Oblique Sit-Up
one_arm_landmine_press,One-Arm Landmine Press,multiplier,standard,landmine,shoulders,triceps,,,,One-Arm Landmine Press
one_handed_bar_hang,One-Handed Bar Hang,bodyweight,standard,bodyweight,forearms,,,,,One-Handed Bar Hang
one_handed_cable_row,One-Handed Cable Row,multiplier,standard,cable machine,back,shoulders,,,,One-Handed Cable Row
one_handed_kettlebell_swing,One-Handed Kettlebell Swing,multiplier,standard,kettlebell,back,,,,,One-Handed Kettlebell Swing
one_handed_lat_pulldown,One-Handed Lat Pulldown,multiplier,standard,cable machine,lats,back,,,,One-Handed Lat Pulldown
one_legged_glute_bridge,One-Legged Glute Bridge,multiplier,standard,machine,glutes,hamstrings,,,,One-Legged Glute Bridge
one_legged_hip_thrust,One-Legged Hip Thrust,multiplier,standard,machine,glutes,,,,,One-Legged Hip Thrust
one_legged_leg_extension,One-Legged Leg Extension,multiplier,standard,machine,quads,,,,,One-Legged Leg Extension
